stationid,date,year,month,day,variable,value,station_name,latitude
USH00412797,1888-01-31,1888,jan,31,tavg,,EL PASO AP,31.8111
USH00412797,1888-02-29,1888,feb,29,tavg,,EL PASO AP,31.8111
USH00412797,1888-03-31,1888,mar,31,tavg,,EL PASO AP,31.8111
USH00412797,1888-04-30,1888,apr,30,tavg,19.81,EL PASO AP,31.8111
USH00412797,1888-05-31,1888,may,31,tavg,22.12,EL PASO AP,31.8111
USH00412797,1888-06-30,1888,jun,30,tavg,28.76,EL PASO AP,31.8111
USH00412797,1888-07-31,1888,jul,31,tavg,28.56,EL PASO AP,31.8111
USH00412797,1888-08-31,1888,aug,31,tavg,27.95,EL PASO AP,31.8111
USH00412797,1888-09-30,1888,sep,30,tavg,23.59,EL PASO AP,31.8111
USH00412797,1888-10-31,1888,oct,31,tavg,19.51,EL PASO AP,31.8111
USH00412797,1888-11-30,1888,nov,30,tavg,12.48,EL PASO AP,31.8111
USH00412797,1888-12-31,1888,dec,31,tavg,8.68,EL PASO AP,31.8111
USH00412797,1889-01-31,1889,jan,31,tavg,6.03,EL PASO AP,31.8111
USH00412797,1889-02-28,1889,feb,28,tavg,9.54,EL PASO AP,31.8111
USH00412797,1889-03-31,1889,mar,31,tavg,12.92,EL PASO AP,31.8111
USH00412797,1889-04-30,1889,apr,30,tavg,20.2,EL PASO AP,31.8111
USH00412797,1889-05-31,1889,may,31,tavg,23.81,EL PASO AP,31.8111
USH00412797,1889-06-30,1889,jun,30,tavg,27.87,EL PASO AP,31.8111
USH00412797,1889-07-31,1889,jul,31,tavg,29.09,EL PASO AP,31.8111
USH00412797,1889-08-31,1889,aug,31,tavg,28.92,EL PASO AP,31.8111
USH00412797,1889-09-30,1889,sep,30,tavg,22.68,EL PASO AP,31.8111
USH00412797,1889-10-31,1889,oct,31,tavg,19.12,EL PASO AP,31.8111
USH00412797,1889-11-30,1889,nov,30,tavg,10.2,EL PASO AP,31.8111
USH00412797,1889-12-31,1889,dec,31,tavg,12.51,EL PASO AP,31.8111
USH00412797,1890-01-31,1890,jan,31,tavg,9.81,EL PASO AP,31.8111
USH00412797,1890-02-28,1890,feb,28,tavg,11.79,EL PASO AP,31.8111
USH00412797,1890-03-31,1890,mar,31,tavg,15.64,EL PASO AP,31.8111
USH00412797,1890-04-30,1890,apr,30,tavg,18.7,EL PASO AP,31.8111
USH00412797,1890-05-31,1890,may,31,tavg,24.76,EL PASO AP,31.8111
USH00412797,1890-06-30,1890,jun,30,tavg,27.2,EL PASO AP,31.8111
USH00412797,1890-07-31,1890,jul,31,tavg,28.7,EL PASO AP,31.8111
USH00412797,1890-08-31,1890,aug,31,tavg,26.73,EL PASO AP,31.8111
USH00412797,1890-09-30,1890,sep,30,tavg,23.84,EL PASO AP,31.8111
USH00412797,1890-10-31,1890,oct,31,tavg,18.09,EL PASO AP,31.8111
USH00412797,1890-11-30,1890,nov,30,tavg,11.42,EL PASO AP,31.8111
USH00412797,1890-12-31,1890,dec,31,tavg,10.34,EL PASO AP,31.8111
USH00412797,1891-01-31,1891,jan,31,tavg,5.14,EL PASO AP,31.8111
USH00412797,1891-02-28,1891,feb,28,tavg,10.54,EL PASO AP,31.8111
USH00412797,1891-03-31,1891,mar,31,tavg,13.26,EL PASO AP,31.8111
USH00412797,1891-04-30,1891,apr,30,tavg,18.01,EL PASO AP,31.8111
USH00412797,1891-05-31,1891,may,31,tavg,21.95,EL PASO AP,31.8111
USH00412797,1891-06-30,1891,jun,30,tavg,26.67,EL PASO AP,31.8111
USH00412797,1891-07-31,1891,jul,31,tavg,29.9,EL PASO AP,31.8111
USH00412797,1891-08-31,1891,aug,31,tavg,27.98,EL PASO AP,31.8111
USH00412797,1891-09-30,1891,sep,30,tavg,25.87,EL PASO AP,31.8111
USH00412797,1891-10-31,1891,oct,31,tavg,18.7,EL PASO AP,31.8111
USH00412797,1891-11-30,1891,nov,30,tavg,13.43,EL PASO AP,31.8111
USH00412797,1891-12-31,1891,dec,31,tavg,6.12,EL PASO AP,31.8111
USH00412797,1892-01-31,1892,jan,31,tavg,6.93,EL PASO AP,31.8111
USH00412797,1892-02-29,1892,feb,29,tavg,10.95,EL PASO AP,31.8111
USH00412797,1892-03-31,1892,mar,31,tavg,13.37,EL PASO AP,31.8111
USH00412797,1892-04-30,1892,apr,30,tavg,18.28,EL PASO AP,31.8111
USH00412797,1892-05-31,1892,may,31,tavg,22.37,EL PASO AP,31.8111
USH00412797,1892-06-30,1892,jun,30,tavg,27.81,EL PASO AP,31.8111
USH00412797,1892-07-31,1892,jul,31,tavg,29.09,EL PASO AP,31.8111
USH00412797,1892-08-31,1892,aug,31,tavg,26.76,EL PASO AP,31.8111
USH00412797,1892-09-30,1892,sep,30,tavg,24.39,EL PASO AP,31.8111
USH00412797,1892-10-31,1892,oct,31,tavg,17.76,EL PASO AP,31.8111
USH00412797,1892-11-30,1892,nov,30,tavg,11.84,EL PASO AP,31.8111
USH00412797,1892-12-31,1892,dec,31,tavg,7.34,EL PASO AP,31.8111
USH00412797,1893-01-31,1893,jan,31,tavg,8.73,EL PASO AP,31.8111
USH00412797,1893-02-28,1893,feb,28,tavg,10.54,EL PASO AP,31.8111
USH00412797,1893-03-31,1893,mar,31,tavg,13.29,EL PASO AP,31.8111
USH00412797,1893-04-30,1893,apr,30,tavg,19.7,EL PASO AP,31.8111
USH00412797,1893-05-31,1893,may,31,tavg,22.32,EL PASO AP,31.8111
USH00412797,1893-06-30,1893,jun,30,tavg,29.01,EL PASO AP,31.8111
USH00412797,1893-07-31,1893,jul,31,tavg,28.03,EL PASO AP,31.8111
USH00412797,1893-08-31,1893,aug,31,tavg,26.26,EL PASO AP,31.8111
USH00412797,1893-09-30,1893,sep,30,tavg,24.23,EL PASO AP,31.8111
USH00412797,1893-10-31,1893,oct,31,tavg,17.93,EL PASO AP,31.8111
USH00412797,1893-11-30,1893,nov,30,tavg,11.45,EL PASO AP,31.8111
USH00412797,1893-12-31,1893,dec,31,tavg,9.7,EL PASO AP,31.8111
USH00412797,1894-01-31,1894,jan,31,tavg,6.9,EL PASO AP,31.8111
USH00412797,1894-02-28,1894,feb,28,tavg,7.59,EL PASO AP,31.8111
USH00412797,1894-03-31,1894,mar,31,tavg,13.01,EL PASO AP,31.8111
USH00412797,1894-04-30,1894,apr,30,tavg,19.4,EL PASO AP,31.8111
USH00412797,1894-05-31,1894,may,31,tavg,23.76,EL PASO AP,31.8111
USH00412797,1894-06-30,1894,jun,30,tavg,27.04,EL PASO AP,31.8111
USH00412797,1894-07-31,1894,jul,31,tavg,28.01,EL PASO AP,31.8111
USH00412797,1894-08-31,1894,aug,31,tavg,26.12,EL PASO AP,31.8111
USH00412797,1894-09-30,1894,sep,30,tavg,23.81,EL PASO AP,31.8111
USH00412797,1894-10-31,1894,oct,31,tavg,20.12,EL PASO AP,31.8111
USH00412797,1894-11-30,1894,nov,30,tavg,12.95,EL PASO AP,31.8111
USH00412797,1894-12-31,1894,dec,31,tavg,9.78,EL PASO AP,31.8111
USH00412797,1895-01-31,1895,jan,31,tavg,8.45,EL PASO AP,31.8111
USH00412797,1895-02-28,1895,feb,28,tavg,7.56,EL PASO AP,31.8111
USH00412797,1895-03-31,1895,mar,31,tavg,14.67,EL PASO AP,31.8111
USH00412797,1895-04-30,1895,apr,30,tavg,18.95,EL PASO AP,31.8111
USH00412797,1895-05-31,1895,may,31,tavg,21.92,EL PASO AP,31.8111
USH00412797,1895-06-30,1895,jun,30,tavg,26.04,EL PASO AP,31.8111
USH00412797,1895-07-31,1895,jul,31,tavg,27.18,EL PASO AP,31.8111
USH00412797,1895-08-31,1895,aug,31,tavg,26.7,EL PASO AP,31.8111
USH00412797,1895-09-30,1895,sep,30,tavg,24.76,EL PASO AP,31.8111
USH00412797,1895-10-31,1895,oct,31,tavg,16.98,EL PASO AP,31.8111
USH00412797,1895-11-30,1895,nov,30,tavg,10.84,EL PASO AP,31.8111
USH00412797,1895-12-31,1895,dec,31,tavg,6.53,EL PASO AP,31.8111
USH00412797,1896-01-31,1896,jan,31,tavg,9.12,EL PASO AP,31.8111
USH00412797,1896-02-29,1896,feb,29,tavg,9.4,EL PASO AP,31.8111
USH00412797,1896-03-31,1896,mar,31,tavg,15.51,EL PASO AP,31.8111
USH00412797,1896-04-30,1896,apr,30,tavg,18.56,EL PASO AP,31.8111
USH00412797,1896-05-31,1896,may,31,tavg,24.65,EL PASO AP,31.8111
USH00412797,1896-06-30,1896,jun,30,tavg,28.34,EL PASO AP,31.8111
USH00412797,1896-07-31,1896,jul,31,tavg,27.15,EL PASO AP,31.8111
USH00412797,1896-08-31,1896,aug,31,tavg,27.23,EL PASO AP,31.8111
USH00412797,1896-09-30,1896,sep,30,tavg,24.15,EL PASO AP,31.8111
USH00412797,1896-10-31,1896,oct,31,tavg,17.62,EL PASO AP,31.8111
USH00412797,1896-11-30,1896,nov,30,tavg,13.64,EL PASO AP,31.8111
USH00412797,1896-12-31,1896,dec,31,tavg,9.15,EL PASO AP,31.8111
USH00412797,1897-01-31,1897,jan,31,tavg,6.04,EL PASO AP,31.8111
USH00412797,1897-02-28,1897,feb,28,tavg,10.56,EL PASO AP,31.8111
USH00412797,1897-03-31,1897,mar,31,tavg,13.62,EL PASO AP,31.8111
USH00412797,1897-04-30,1897,apr,30,tavg,18.84,EL PASO AP,31.8111
USH00412797,1897-05-31,1897,may,31,tavg,24.09,EL PASO AP,31.8111
USH00412797,1897-06-30,1897,jun,30,tavg,27.62,EL PASO AP,31.8111
USH00412797,1897-07-31,1897,jul,31,tavg,27.42,EL PASO AP,31.8111
USH00412797,1897-08-31,1897,aug,31,tavg,26.23,EL PASO AP,31.8111
USH00412797,1897-09-30,1897,sep,30,tavg,22.95,EL PASO AP,31.8111
USH00412797,1897-10-31,1897,oct,31,tavg,17.95,EL PASO AP,31.8111
USH00412797,1897-11-30,1897,nov,30,tavg,13.68,EL PASO AP,31.8111
USH00412797,1897-12-31,1897,dec,31,tavg,7.56,EL PASO AP,31.8111
USH00412797,1898-01-31,1898,jan,31,tavg,6.29,EL PASO AP,31.8111
USH00412797,1898-02-28,1898,feb,28,tavg,11.73,EL PASO AP,31.8111
USH00412797,1898-03-31,1898,mar,31,tavg,13.34,EL PASO AP,31.8111
USH00412797,1898-04-30,1898,apr,30,tavg,19.12,EL PASO AP,31.8111
USH00412797,1898-05-31,1898,may,31,tavg,22.37,EL PASO AP,31.8111
USH00412797,1898-06-30,1898,jun,30,tavg,25.7,EL PASO AP,31.8111
USH00412797,1898-07-31,1898,jul,31,tavg,27.34,EL PASO AP,31.8111
USH00412797,1898-08-31,1898,aug,31,tavg,26.59,EL PASO AP,31.8111
USH00412797,1898-09-30,1898,sep,30,tavg,23.67,EL PASO AP,31.8111
USH00412797,1898-10-31,1898,oct,31,tavg,18.34,EL PASO AP,31.8111
USH00412797,1898-11-30,1898,nov,30,tavg,11.95,EL PASO AP,31.8111
USH00412797,1898-12-31,1898,dec,31,tavg,4.89,EL PASO AP,31.8111
USH00412797,1899-01-31,1899,jan,31,tavg,7.7,EL PASO AP,31.8111
USH00412797,1899-02-28,1899,feb,28,tavg,8.7,EL PASO AP,31.8111
USH00412797,1899-03-31,1899,mar,31,tavg,15.01,EL PASO AP,31.8111
USH00412797,1899-04-30,1899,apr,30,tavg,17.98,EL PASO AP,31.8111
USH00412797,1899-05-31,1899,may,31,tavg,22.23,EL PASO AP,31.8111
USH00412797,1899-06-30,1899,jun,30,tavg,26.28,EL PASO AP,31.8111
USH00412797,1899-07-31,1899,jul,31,tavg,27.9,EL PASO AP,31.8111
USH00412797,1899-08-31,1899,aug,31,tavg,28.51,EL PASO AP,31.8111
USH00412797,1899-09-30,1899,sep,30,tavg,24.82,EL PASO AP,31.8111
USH00412797,1899-10-31,1899,oct,31,tavg,18.03,EL PASO AP,31.8111
USH00412797,1899-11-30,1899,nov,30,tavg,12.98,EL PASO AP,31.8111
USH00412797,1899-12-31,1899,dec,31,tavg,7.92,EL PASO AP,31.8111
USH00412797,1900-01-31,1900,jan,31,tavg,9.53,EL PASO AP,31.8111
USH00412797,1900-02-28,1900,feb,28,tavg,10.09,EL PASO AP,31.8111
