stationid,date,year,month,day,variable,value,station_name,latitude,spei_date
USH00294426,1915-01-31,1915,1,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Jan 1915
USH00294426,1915-02-28,1915,2,28,spei12mo,NA,JORNADA EXP RANGE,32.6169,Feb 1915
USH00294426,1915-03-31,1915,3,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Mar 1915
USH00294426,1915-04-30,1915,4,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Apr 1915
USH00294426,1915-05-31,1915,5,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,May 1915
USH00294426,1915-06-30,1915,6,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Jun 1915
USH00294426,1915-07-31,1915,7,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Jul 1915
USH00294426,1915-08-31,1915,8,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Aug 1915
USH00294426,1915-09-30,1915,9,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Sep 1915
USH00294426,1915-10-31,1915,10,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Oct 1915
USH00294426,1915-11-30,1915,11,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Nov 1915
USH00294426,1915-12-31,1915,12,31,spei12mo,0.706078636171742,JORNADA EXP RANGE,32.6169,Dec 1915
USH00294426,1916-01-31,1916,1,31,spei12mo,0.5180175713177886,JORNADA EXP RANGE,32.6169,Jan 1916
USH00294426,1916-02-29,1916,2,29,spei12mo,0.2437246944018666,JORNADA EXP RANGE,32.6169,Feb 1916
USH00294426,1916-03-31,1916,3,31,spei12mo,-0.035299610940676344,JORNADA EXP RANGE,32.6169,Mar 1916
USH00294426,1916-04-30,1916,4,30,spei12mo,-0.08652976642340217,JORNADA EXP RANGE,32.6169,Apr 1916
USH00294426,1916-05-31,1916,5,31,spei12mo,0.2627775420405926,JORNADA EXP RANGE,32.6169,May 1916
USH00294426,1916-06-30,1916,6,30,spei12mo,0.022147981733760733,JORNADA EXP RANGE,32.6169,Jun 1916
USH00294426,1916-07-31,1916,7,31,spei12mo,-0.03654100791064109,JORNADA EXP RANGE,32.6169,Jul 1916
USH00294426,1916-08-31,1916,8,31,spei12mo,-0.4156427313202981,JORNADA EXP RANGE,32.6169,Aug 1916
USH00294426,1916-09-30,1916,9,30,spei12mo,-0.6211698121102522,JORNADA EXP RANGE,32.6169,Sep 1916
USH00294426,1916-10-31,1916,10,31,spei12mo,0.039515830784665446,JORNADA EXP RANGE,32.6169,Oct 1916
