stationid,date,year,month,day,variable,value,station_name,latitude
USH00294426,1893-01-31,1893,jan,31,tavg,4.66,JORNADA EXP RANGE,32.6169
USH00294426,1893-02-28,1893,feb,28,tavg,6.34,JORNADA EXP RANGE,32.6169
USH00294426,1893-03-31,1893,mar,31,tavg,8.64,JORNADA EXP RANGE,32.6169
USH00294426,1893-04-30,1893,apr,30,tavg,14.02,JORNADA EXP RANGE,32.6169
USH00294426,1893-05-31,1893,may,31,tavg,17.07,JORNADA EXP RANGE,32.6169
USH00294426,1893-06-30,1893,jun,30,tavg,23.89,JORNADA EXP RANGE,32.6169
USH00294426,1893-07-31,1893,jul,31,tavg,24.9,JORNADA EXP RANGE,32.6169
USH00294426,1893-08-31,1893,aug,31,tavg,23.39,JORNADA EXP RANGE,32.6169
USH00294426,1893-09-30,1893,sep,30,tavg,20.23,JORNADA EXP RANGE,32.6169
USH00294426,1893-10-31,1893,oct,31,tavg,12.84,JORNADA EXP RANGE,32.6169
USH00294426,1893-11-30,1893,nov,30,tavg,6.25,JORNADA EXP RANGE,32.6169
USH00294426,1893-12-31,1893,dec,31,tavg,4.54,JORNADA EXP RANGE,32.6169
USH00294426,1894-01-31,1894,jan,31,tavg,1.87,JORNADA EXP RANGE,32.6169
USH00294426,1894-02-28,1894,feb,28,tavg,3.2,JORNADA EXP RANGE,32.6169
USH00294426,1894-03-31,1894,mar,31,tavg,7.74,JORNADA EXP RANGE,32.6169
USH00294426,1894-04-30,1894,apr,30,tavg,14.48,JORNADA EXP RANGE,32.6169
USH00294426,1894-05-31,1894,may,31,tavg,19.17,JORNADA EXP RANGE,32.6169
USH00294426,1894-06-30,1894,jun,30,tavg,22.06,JORNADA EXP RANGE,32.6169
USH00294426,1894-07-31,1894,jul,31,tavg,24.95,JORNADA EXP RANGE,32.6169
USH00294426,1894-08-31,1894,aug,31,tavg,23.05,JORNADA EXP RANGE,32.6169
USH00294426,1894-09-30,1894,sep,30,tavg,19.42,JORNADA EXP RANGE,32.6169
USH00294426,1894-10-31,1894,oct,31,tavg,15.18,JORNADA EXP RANGE,32.6169
USH00294426,1894-11-30,1894,nov,30,tavg,7.69,JORNADA EXP RANGE,32.6169
USH00294426,1894-12-31,1894,dec,31,tavg,4.76,JORNADA EXP RANGE,32.6169
USH00294426,1895-01-31,1895,jan,31,tavg,3.42,JORNADA EXP RANGE,32.6169
USH00294426,1895-02-28,1895,feb,28,tavg,3.12,JORNADA EXP RANGE,32.6169
USH00294426,1895-03-31,1895,mar,31,tavg,8.65,JORNADA EXP RANGE,32.6169
USH00294426,1895-04-30,1895,apr,30,tavg,13.71,JORNADA EXP RANGE,32.6169
USH00294426,1895-05-31,1895,may,31,tavg,17.39,JORNADA EXP RANGE,32.6169
USH00294426,1895-06-30,1895,jun,30,tavg,21.34,JORNADA EXP RANGE,32.6169
USH00294426,1895-07-31,1895,jul,31,tavg,23.54,JORNADA EXP RANGE,32.6169
USH00294426,1895-08-31,1895,aug,31,tavg,23.08,JORNADA EXP RANGE,32.6169
USH00294426,1895-09-30,1895,sep,30,tavg,20.25,JORNADA EXP RANGE,32.6169
USH00294426,1895-10-31,1895,oct,31,tavg,12.21,JORNADA EXP RANGE,32.6169
USH00294426,1895-11-30,1895,nov,30,tavg,6.04,JORNADA EXP RANGE,32.6169
USH00294426,1895-12-31,1895,dec,31,tavg,1.06,JORNADA EXP RANGE,32.6169
USH00294426,1896-01-31,1896,jan,31,tavg,4.32,JORNADA EXP RANGE,32.6169
USH00294426,1896-02-29,1896,feb,29,tavg,4.52,JORNADA EXP RANGE,32.6169
USH00294426,1896-03-31,1896,mar,31,tavg,9.82,JORNADA EXP RANGE,32.6169
USH00294426,1896-04-30,1896,apr,30,tavg,13.08,JORNADA EXP RANGE,32.6169
USH00294426,1896-05-31,1896,may,31,tavg,19.46,JORNADA EXP RANGE,32.6169
USH00294426,1896-06-30,1896,jun,30,tavg,24.45,JORNADA EXP RANGE,32.6169
USH00294426,1896-07-31,1896,jul,31,tavg,24.29,JORNADA EXP RANGE,32.6169
USH00294426,1896-08-31,1896,aug,31,tavg,24.09,JORNADA EXP RANGE,32.6169
USH00294426,1896-09-30,1896,sep,30,tavg,21.08,JORNADA EXP RANGE,32.6169
USH00294426,1896-10-31,1896,oct,31,tavg,13.44,JORNADA EXP RANGE,32.6169
USH00294426,1896-11-30,1896,nov,30,tavg,8.75,JORNADA EXP RANGE,32.6169
USH00294426,1896-12-31,1896,dec,31,tavg,3.96,JORNADA EXP RANGE,32.6169
USH00294426,1897-01-31,1897,jan,31,tavg,1.99,JORNADA EXP RANGE,32.6169
USH00294426,1897-02-28,1897,feb,28,tavg,5.27,JORNADA EXP RANGE,32.6169
